Model,Series,Simplex_Duplex,Pump_Price,TEFC_AC_Price,XPFC_AC_Price,TEFC_DC_Price,XPFC_DC_Price,GPH_60Hz,GPH_50Hz,LPH_60Hz,LPH_50Hz,Max_Pressure_PSI,Max_Pressure_Bar,Max_Pressure_PSI_High_Pressure_Adder,Max_Pressure_Bar_High_Pressure_Adder,High_Pressure_Adder_Price,Max_SPM,Viton,Hypalon,EPDM,Liquid_End_Material,Conductive_Leak_Detection_Price_Adder,Vacuum_Leak_Detection_Price_Adder,Flange_Size,Ball_Size,Motor_HP_AC,Motor_HP_AC_High_Pressure,Motor_HP_DC_TEFC,Motor_HP_DC_XPFC,Liq_Inlet,Liq_Outlet,Spare_Parts_Kit_Model,Spare_Parts_Kit_Price,Spare_Parts_Kit_Info,Back_Pressure_Valve_150,Back_Pressure_Valve_750,Connection_Size,Pressure_Relief_Valve_150,Pressure_Relief_Valve_750,Port,Pulsation_Dampener,Calibration_Column,Calibration_Column_Info,Pressure_Gauge,Pressure_Gauge_Info,ECCA_Price,VFD_Price
CJ3T5614-08024,Series 1000,Duplex,6569.7975,750,1725,1475.2,6118,12.2,10.17,46.18,38.49,150,10,0,0,0,140,0,0,0,PVC,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014PVCDUP,1051.974,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/2"" FNPT",187.68,0,2-Port,513.6,98.67,"PVC, 500 ml (8 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T5614-0A024,Series 1000,Duplex,10073.91,750,1725,1475.2,6118,12.2,10.17,46.18,38.49,150,10,0,0,0,140,0,0,0,PVDF,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014KYNDUP,1322.4816,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/2"" FNPT",539.856,0,2-Port,1701.6,848.7,"PVDF, 500 ml (8 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T5617-04024,Series 1000,Duplex,6119.9775,750,1725,1475.2,6118,14.8,12.33,56.02,46.69,400,28,1500,103,1290.24,170,2760,2608.8,2608.8,316SS,2640,5808,"1/2""","3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014316DUP,1051.974,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",480.24,691.2,"3/8"" FNPT",481.344,691.2,2-Port,988.8,104.88,"PVC, 1000 ml (16 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T5617-05024,Series 1000,Duplex,8713.32,750,1725,1475.2,6118,14.8,12.33,56.02,46.69,400,28,1500,103,1677.312,170,2760,2608.8,2608.8,Alloy 20,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014C20DUP,1598.454,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"3/8"" FNPT",989.184,1267.2,2-Port,0,1366.2,"PTFE, 1000 ml (16 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T5617-06024,Series 1000,Duplex,11044.6875,750,1725,1475.2,6118,14.8,12.33,56.02,46.69,400,28,1500,103,1870.848,170,2760,2608.8,2608.8,Hast. C,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014HCDUP,1707.75,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"3/8"" FNPT",1363.44,1440,2-Port,0,1366.2,"PTFE, 1000 ml (16 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 3/8"" NPT connection size. ",2946,822
CJ3T5617-08024,Series 1000,Duplex,6569.7975,750,1725,1475.2,6118,14.8,12.33,56.02,46.69,150,10,0,0,0,170,0,0,0,PVC,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" MNPT",1021-014PVCDUP,1051.974,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/2"" FNPT",187.68,0,2-Port,513.6,104.88,"PVC, 1000 ml (16 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T5617-0A024,Series 1000,Duplex,10073.91,750,1725,1475.2,6118,14.8,12.33,56.02,46.69,150,10,0,0,0,170,0,0,0,PVDF,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" MNPT",1021-014KYNDUP,1322.4816,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/2"" FNPT",539.856,0,2-Port,1701.6,1211.64,"PVDF, 1000 ml (16 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T5629-04024,Series 1000,Duplex,6119.9775,750,1725,1475.2,6118,2.5,2.08,9.46,7.89,400,28,1500,103,1290.24,29,2760,2608.8,2608.8,316SS,2640,5808,"1/2""","3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014316DUP,1051.974,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",480.24,691.2,"3/8"" FNPT",481.344,691.2,2-Port,988.8,90.39,"PVC, 250 ml (4 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T5629-05024,Series 1000,Duplex,8713.32,750,1725,1475.2,6118,2.5,2.08,9.46,7.89,400,28,1500,103,1677.312,29,2760,2608.8,2608.8,Alloy 20,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014C20DUP,1598.454,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"3/8"" FNPT",989.184,1267.2,2-Port,0,632.04,"PTFE, 250 ml (4 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T5629-06024,Series 1000,Duplex,11044.6875,750,1725,1475.2,6118,2.5,2.08,9.46,7.89,400,28,1500,103,1870.848,29,2760,2608.8,2608.8,Hast. C,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014HCDUP,1707.75,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"3/8"" FNPT",1363.44,1440,2-Port,0,632.04,"PTFE, 250 ml (4 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 3/8"" NPT connection size. ",2946,822
CJ3T5629-08024,Series 1000,Duplex,6569.7975,750,1725,1475.2,6118,2.5,2.08,9.46,7.89,150,10,0,0,0,29,0,0,0,PVC,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014PVCDUP,1051.974,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/2"" FNPT",187.68,0,2-Port,513.6,90.39,"PVC, 250 ml (4 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T5629-0A024,Series 1000,Duplex,10073.91,750,1725,1475.2,6118,2.5,2.08,9.46,7.89,150,10,0,0,0,29,0,0,0,PVDF,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014KYNDUP,1322.4816,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/2"" FNPT",539.856,0,2-Port,1701.6,632.04,"PVDF, 250 ml (4 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T5658-04024,Series 1000,Duplex,6119.9775,750,1725,1475.2,6118,5,4.17,18.93,15.77,400,28,1500,103,1290.24,58,2760,2608.8,2608.8,316SS,2640,5808,"1/2""","3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014316DUP,1051.974,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",480.24,691.2,"3/8"" FNPT",481.344,691.2,2-Port,988.8,90.39,"PVC, 250 ml (4 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T5658-05024,Series 1000,Duplex,8713.32,750,1725,1475.2,6118,5,4.17,18.93,15.77,400,28,1500,103,1677.312,58,2760,2608.8,2608.8,Alloy 20,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014C20DUP,1598.454,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"3/8"" FNPT",989.184,1267.2,2-Port,0,632.04,"PTFE, 250 ml (4 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T5658-06024,Series 1000,Duplex,11044.6875,750,1725,1475.2,6118,5,4.17,18.93,15.77,400,28,1500,103,1870.848,58,2760,2608.8,2608.8,Hast. C,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014HCDUP,1707.75,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"3/8"" FNPT",1363.44,1440,2-Port,0,632.04,"PTFE, 250 ml (4 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 3/8"" NPT connection size. ",2946,822
CJ3T5658-08024,Series 1000,Duplex,6569.7975,750,1725,1475.2,6118,5,4.17,18.93,15.77,150,10,0,0,0,58,0,0,0,PVC,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014PVCDUP,1051.974,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/2"" FNPT",187.68,0,2-Port,513.6,90.39,"PVC, 250 ml (4 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T5658-0A024,Series 1000,Duplex,10073.91,750,1725,1475.2,6118,5,4.17,18.93,15.77,150,10,0,0,0,58,0,0,0,PVDF,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014KYNDUP,1322.4816,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/2"" FNPT",539.856,0,2-Port,1701.6,632.04,"PVDF, 250 ml (4 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T5697-04024,Series 1000,Duplex,6119.9775,750,1725,1475.2,6118,8.4,7,31.8,26.5,400,28,1500,103,1290.24,97,2760,2608.8,2608.8,316SS,2640,5808,"1/2""","3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014316DUP,1051.974,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",480.24,691.2,"3/8"" FNPT",481.344,691.2,2-Port,988.8,98.67,"PVC, 500 ml (8 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T5697-05024,Series 1000,Duplex,8713.32,750,1725,1475.2,6118,8.4,7,31.8,26.5,400,28,1500,103,1677.312,97,2760,2608.8,2608.8,Alloy 20,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014C20DUP,1598.454,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"3/8"" FNPT",989.184,1267.2,2-Port,0,1028.1,"PTFE, 500 ml (8 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T5697-06024,Series 1000,Duplex,11044.6875,750,1725,1475.2,6118,8.4,7,31.8,26.5,400,28,1500,103,1870.848,97,2760,2608.8,2608.8,Hast. C,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014HCDUP,1707.75,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"3/8"" FNPT",1363.44,1440,2-Port,0,1028.1,"PTFE, 500 ml (8 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 3/8"" NPT connection size. ",2946,822
CJ3T5697-08024,Series 1000,Duplex,6569.7975,750,1725,1475.2,6118,8.4,7,31.8,26.5,150,10,0,0,0,97,0,0,0,PVC,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014PVCDUP,1051.974,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/2"" FNPT",187.68,0,2-Port,513.6,98.67,"PVC, 500 ml (8 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T5697-0A024,Series 1000,Duplex,10073.91,750,1725,1475.2,6118,8.4,7,31.8,26.5,150,10,0,0,0,97,0,0,0,PVDF,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014KYNDUP,1322.4816,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/2"" FNPT",539.856,0,2-Port,1701.6,848.7,"PVDF, 500 ml (8 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T7512-04024,Series 1000,Duplex,6119.9775,750,1725,1475.2,6118,18.7,15.58,70.79,58.99,400,28,1500,103,1290.24,117,2760,2608.8,2608.8,316SS,2640,5808,"1/2""","3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014316DUP,1051.974,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",480.24,691.2,"3/8"" FNPT",481.344,691.2,2-Port,988.8,104.88,"PVC, 1000 ml (16 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T7512-05024,Series 1000,Duplex,8713.32,750,1725,1475.2,6118,18.7,15.58,70.79,58.99,400,28,1500,103,1677.312,117,2760,2608.8,2608.8,Alloy 20,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014C20DUP,1598.454,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"3/8"" FNPT",989.184,1267.2,2-Port,0,1366.2,"PTFE, 1000 ml (16 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T7512-06024,Series 1000,Duplex,11044.6875,750,1725,1475.2,6118,18.7,15.58,70.79,58.99,400,28,1500,103,1870.848,117,2760,2608.8,2608.8,Hast. C,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014HCDUP,1707.75,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"3/8"" FNPT",1363.44,1440,2-Port,0,1366.2,"PTFE, 1000 ml (16 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 3/8"" NPT connection size. ",2946,822
CJ3T7512-08024,Series 1000,Duplex,6569.7975,750,1725,1475.2,6118,18.7,15.58,70.79,58.99,150,10,0,0,0,117,0,0,0,PVC,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014PVCDUP,1051.974,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/2"" FNPT",187.68,0,2-Port,513.6,104.88,"PVC, 1000 ml (16 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T7512-0A024,Series 1000,Duplex,10073.91,750,1725,1475.2,6118,18.7,15.58,70.79,58.99,150,10,0,0,0,117,0,0,0,PVDF,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014KYNDUP,1322.4816,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/2"" FNPT",539.856,0,2-Port,2079.6,1211.64,"PVDF, 1000 ml (16 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T7514-04024,Series 1000,Duplex,6119.9775,750,1725,1475.2,6118,21.6,18,81.76,68.14,400,28,1500,103,1290.24,140,2760,2608.8,2608.8,316SS,2640,5808,"1/2""","3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014316DUP,1051.974,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",480.24,691.2,"3/8"" FNPT",481.344,691.2,2-Port,988.8,104.88,"PVC, 1000 ml (16 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T7514-05024,Series 1000,Duplex,8713.32,750,1725,1475.2,6118,21.6,18,81.76,68.14,400,28,1500,103,1677.312,140,2760,2608.8,2608.8,Alloy 20,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014C20DUP,1598.454,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"3/8"" FNPT",989.184,1267.2,2-Port,0,1366.2,"PTFE, 1000 ml (16 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T7514-06024,Series 1000,Duplex,11044.6875,750,1725,1475.2,6118,21.6,18,81.76,68.14,400,28,1500,103,1870.848,140,2760,2608.8,2608.8,Hast. C,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014HCDUP,1707.75,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"3/8"" FNPT",1363.44,1440,2-Port,0,1366.2,"PTFE, 1000 ml (16 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 3/8"" NPT connection size. ",2946,822
CJ3T7514-08024,Series 1000,Duplex,6569.7975,750,1725,1475.2,6118,21.6,18,81.76,68.14,150,10,0,0,0,140,0,0,0,PVC,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014PVCDUP,1051.974,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/2"" FNPT",187.68,0,2-Port,513.6,104.88,"PVC, 1000 ml (16 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T7514-0A024,Series 1000,Duplex,10073.91,750,1725,1475.2,6118,21.6,18,81.76,68.14,150,10,0,0,0,140,0,0,0,PVDF,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014KYNDUP,1322.4816,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/2"" FNPT",539.856,0,2-Port,2079.6,1211.64,"PVDF, 1000 ml (16 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T7517-04024,Series 1000,Duplex,6119.9775,750,1725,1475.2,6118,26.2,21.83,99.18,82.65,400,28,1500,103,1290.24,170,2760,2608.8,2608.8,316SS,2640,5808,"1/2""","3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014316DUP,1051.974,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",480.24,691.2,"3/8"" FNPT",481.344,691.2,2-Port,988.8,186.3,"PVC, 2000 ml (32 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T7517-05024,Series 1000,Duplex,8713.32,750,1725,1475.2,6118,26.2,21.83,99.18,82.65,400,28,1500,103,1677.312,170,2760,2608.8,2608.8,Alloy 20,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014C20DUP,1598.454,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"3/8"" FNPT",989.184,1267.2,2-Port,0,1736.04,"PTFE, 2000 ml (32 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T7517-06024,Series 1000,Duplex,11044.6875,750,1725,1475.2,6118,26.2,21.83,99.18,82.65,400,28,1500,103,1870.848,170,2760,2608.8,2608.8,Hast. C,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014HCDUP,1707.75,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"3/8"" FNPT",1363.44,1440,2-Port,0,1736.04,"PTFE, 2000 ml (32 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 3/8"" NPT connection size. ",2946,822
CJ3T7517-08024,Series 1000,Duplex,6569.7975,750,1725,1475.2,6118,26.2,21.83,99.18,82.65,150,10,0,0,0,170,0,0,0,PVC,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014PVCDUP,1051.974,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/2"" FNPT",187.68,0,2-Port,513.6,186.3,"PVC, 2000 ml (32 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T7517-0A024,Series 1000,Duplex,10073.91,750,1725,1475.2,6118,26.2,21.83,99.18,82.65,150,10,0,0,0,170,0,0,0,PVDF,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014KYNDUP,1322.4816,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/2"" FNPT",539.856,0,2-Port,2079.6,1421.4,"PVDF, 2000 ml (32 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ3T7529-04024,Series 1000,Duplex,6119.9775,750,1725,1475.2,6118,4.5,3.75,17.03,14.2,400,28,1500,103,1290.24,29,2760,2608.8,2608.8,316SS,2640,5808,"1/2""","3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014316DUP,1051.974,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",480.24,691.2,"3/8"" FNPT",481.344,691.2,2-Port,988.8,90.39,"PVC, 250 ml (4 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T7529-05024,Series 1000,Duplex,8713.32,750,1725,1475.2,6118,4.5,3.75,17.03,14.2,400,28,1500,103,1677.312,29,2760,2608.8,2608.8,Alloy 20,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014C20DUP,1598.454,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"3/8"" FNPT",989.184,1267.2,2-Port,0,632.04,"PTFE, 250 ml (4 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ3T7529-06024,Series 1000,Duplex,11044.6875,750,1725,1475.2,6118,4.5,3.75,17.03,14.2,400,28,1500,103,1870.848,29,2760,2608.8,2608.8,Hast. C,2640,5808,C/F,"3/8""",0.5,0.75,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-014HCDUP,1707.75,"Diaphragms, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"3/8"" FNPT",1363.44,1440,2-Port,0,632.04,"PTFE, 250 ml (4 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 3/8"" NPT connection size. ",2946,822
CJ3T7529-08024,Series 1000,Duplex,6569.7975,750,1725,1475.2,6118,4.5,3.75,17.03,14.2,150,10,0,0,0,29,0,0,0,PVC,2640,5808,C/F,"3/8""",0.5,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-014PVCDUP,1051.974,"Diaphragms, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/2"" FNPT",187.68,0,2-Port,513.6,90.39,"PVC, 250 ml (4 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
